,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"8003, Zürich",47.3726,8.5161,Restaurant B,Swiss Restaurant,4b7418d2f964a520bcc72de3,47.377799822894225,8.524277221082244,,3.0,0
1,"8003, Zürich",47.3726,8.5161,Migros Restaurant,Restaurant,4d958142c19fb60c7a0a6865,47.36993134937684,8.50841760635376,,2.0,1
2,"8003, Zürich",47.3726,8.5161,Restaurant Cafe Boy,Diner,4bb3353c4019a5935c9e37b8,47.377925786010714,8.516215153434672,8.7,1.0,54
3,"8003, Zürich",47.3726,8.5161,Restaurant-Bar Perry,Swiss Restaurant,4efa108893ad7cf2ecb7353a,47.371853,8.519703,,3.0,0
4,"8003, Zürich",47.3726,8.5161,Restaurant Bahnhof Wiedikon,Restaurant,4c9363fa66dfef3bedff9c03,47.37110156568581,8.523308321974824,,2.0,6
5,"8003, Zürich",47.3726,8.5161,Restaurant Idaburg,Restaurant,4b617287f964a520e8132ae3,47.373403,8.515037,,2.0,4
6,"8003, Zürich",47.3726,8.5161,Restaurant AXOi,Restaurant,58727fed02b60e3b69b49ed3,47.375197,8.51784,,2.0,1
7,"8003, Zürich",47.3726,8.5161,Restaurant Biergarten,Beer Garden,4b9f78a3f964a520d02437e3,47.376963926317764,8.527422879832718,,1.0,2
8,"8003, Zürich",47.3726,8.5161,By Elvis Ocakbasi Restaurant,Turkish Restaurant,522b2a257e48c45696e5d4da,47.3758302872625,8.51620687090528,8.3,2.0,63
9,"8003, Zürich",47.3726,8.5161,Restaurant Ecke,Swiss Restaurant,4ca6384fb7106dcb2de05ba5,47.37441,8.517692,,3.0,0
10,"8003, Zürich",47.3726,8.5161,Restaurant Strauss,Restaurant,4b50e513f964a520693727e3,47.37966789738526,8.527691727382585,,2.0,3
11,"8003, Zürich",47.3726,8.5161,Restaurant Schmiedhof,Food,4e4b9a3052b1119aaa6f2607,47.370916003764435,8.519556253905415,,,1
12,"8003, Zürich",47.3726,8.5161,Restaurant La Pergola,Italian Restaurant,4be7e915d837c9b623a4a406,47.376863968080514,8.520736340768217,7.5,2.0,12
13,"8003, Zürich",47.3726,8.5161,Restaurant Bank,Restaurant,574dc989498eeaadcc4e518f,47.376313,8.526625,,2.0,0
14,"8003, Zürich",47.3726,8.5161,Restaurant Rosenburg,Swiss Restaurant,52dd3692498e473cad5d4448,47.37711716608911,8.512784242630005,,3.0,3
15,"8003, Zürich",47.3726,8.5161,Restaurant Hermanns Eck,Restaurant,514c9ca3e4b07a3d6fe58dda,47.37152211214322,8.52316898236256,,2.0,1
16,"8003, Zürich",47.3726,8.5161,Restaurant Caravelle,,5015b2c8e4b097af8b218664,47.377493,8.522628,,,0
17,"8003, Zürich",47.3726,8.5161,Restaurant St. Meinrad,Restaurant,4c88b3c9bbec6dcb0fbdd558,47.37755432530285,8.521318197613725,,2.0,0
18,"8003, Zürich",47.3726,8.5161,Restaurant Stoller,Bistro,57e7e535498e0a3992f44a06,47.378578,8.509428,,,4
19,"8003, Zürich",47.3726,8.5161,Restaurant Krokodil,Restaurant,4b75af9df964a520ee1c2ee3,47.37739154895993,8.526367264713858,7.5,2.0,22
20,"8003, Zürich",47.3726,8.5161,Restaurant Pflug,Restaurant,4b705b1af964a520e8142de3,47.378945720847405,8.524998882873108,7.1,2.0,6
21,"8003, Zürich",47.3726,8.5161,Shangrila Tibetan Restaurant,Asian Restaurant,4b5ed784f964a5209d9a29e3,47.369823,8.510164,7.8,2.0,12
22,"8003, Zürich",47.3726,8.5161,Restaurant Scheidegg,,5029793ce4b05f0c00589a0e,47.377199990504984,8.527287572203619,,,0
23,"8003, Zürich",47.3726,8.5161,Restaurant Werkhof,Thai Restaurant,4c6bade1599fbe9a602c933f,47.379529,8.52379,,2.0,0
24,"8003, Zürich",47.3726,8.5161,Restaurant Kafi Minh,,501c4a47e4b0ccb680baecc9,47.365115,8.508642,,,0
25,"8003, Zürich",47.3726,8.5161,Restaurant Revan,Restaurant,4eb809924901cef9d9a061a7,47.37826441162386,8.527025768603108,,2.0,0
26,"8003, Zürich",47.3726,8.5161,Restaurant Nachtigall,Restaurant,554e9fcc498e1d5fa7db4a1a,47.379223482298734,8.525918472406106,,2.0,3
27,"8003, Zürich",47.3726,8.5161,Restaurant Sunnehof,,50340534e4b02dc8ff961021,47.376939,8.528695,,,0
28,"8003, Zürich",47.3726,8.5161,Restaurant Phillipe,Diner,4b5b54e7f964a5202ef528e3,47.37776376891414,8.527289628982544,,1.0,0
29,"8003, Zürich",47.3726,8.5161,Restaurant Weisses Schloss,Fast Food Restaurant,4ee8da1dd3e31fdba233445c,47.382726929850165,8.51470003453378,,1.0,0
30,"8003, Zürich",47.3726,8.5161,Cafe Bar Restaurant Zebra,Restaurant,4f213f65e4b0cebcfb128827,47.377687929185036,8.52268874078989,,2.0,0
31,"8003, Zürich",47.3726,8.5161,zurlinden 21 restaurant,Gastropub,586def7614250b16ac209740,47.3681747,8.5220974,,3.0,3
32,"8003, Zürich",47.3726,8.5161,Queen Idia African Restaurant,African Restaurant,56633ccf498ebeeea9f8ec18,47.3744,8.523498,,2.0,1
33,"8003, Zürich",47.3726,8.5161,Thai restaurant A la Carte,Thai Restaurant,4e4bf9bd14958c3abfaea1f2,47.37767093121044,8.512000347505781,,2.0,0
34,"8003, Zürich",47.3726,8.5161,Migros Restaurant,Restaurant,50f54244e4b0a35a3e00b038,47.374816119075305,8.522803222934307,,2.0,0
35,"8003, Zürich",47.3726,8.5161,THE CARIBBEAN RESTAURANT,,4f9dba06e4b0176466f3fd04,47.374782,8.524488,,,0
36,"8004, Zürich",47.378,8.5234,The Lemon Grass - Thai-Take-Away und Restaurant,Thai Restaurant,5437b261498e0d9838a8384b,47.38687727186179,8.528551918513175,8.1,2.0,10
37,"8004, Zürich",47.378,8.5234,Restaurant Valentin's,Turkish Restaurant,4eb2f06130f85a3c6d89de74,47.384740237094,8.529903632520892,7.4,2.0,10
38,"8004, Zürich",47.378,8.5234,Restaurant JOSEF,Swiss Restaurant,4b058888f964a520f8cb22e3,47.384005824668954,8.52902029772919,9.2,3.0,131
39,"8004, Zürich",47.378,8.5234,Restaurant Viadukt,Mediterranean Restaurant,4bd1c2849854d13a341cfa4d,47.385969462081086,8.52231987590721,8.2,2.0,90
40,"8004, Zürich",47.378,8.5234,Restaurant Gloria,Restaurant,4b1a5d20f964a52055e923e3,47.38245781738146,8.531811697057703,6.1,2.0,12
41,"8004, Zürich",47.378,8.5234,Restaurant Vulkan,Indian Restaurant,4bc748ea2f94d13af99a117f,47.38191800913314,8.533651817203056,7.4,2.0,20
42,"8004, Zürich",47.378,8.5234,Restaurant Real,Restaurant,4ba8ab7ff964a520e2e539e3,47.374327530479725,8.530797382503552,7.3,2.0,9
43,"8004, Zürich",47.378,8.5234,Gamper Restaurant,Restaurant,56d1e0d3498ec4e1c3c4bed5,47.37926179571088,8.525263871630637,7.4,2.0,12
44,"8004, Zürich",47.378,8.5234,Restaurant & Bar  Valentin's  Zürich,Meyhane,52dd552411d2bf369d4686a0,47.384770309566306,8.529927630530764,8.1,,11
45,"8004, Zürich",47.378,8.5234,Restaurant Perle de Beirut,Middle Eastern Restaurant,53c4465e498edc618e1344c8,47.381866455078125,8.529524803161621,,2.0,0
46,"8005, Zürich",47.3868,8.5207,Migros Restaurant,Restaurant,4b69741af964a520f3a22be3,47.389967571077165,8.508911062805566,6.3,2.0,16
47,"8005, Zürich",47.3868,8.5207,Restaurant Markthalle,Swiss Restaurant,4e2d1128b61cd01083866a41,47.387683199415314,8.526226278702298,7.9,3.0,60
48,"8005, Zürich",47.3868,8.5207,EQUINOX Restaurant,Restaurant,4f3ecffbe4b0a7d6eb4beec8,47.388028593084826,8.514930290580356,6.0,2.0,8
49,"8005, Zürich",47.3868,8.5207,Restaurant Rosso,Italian Restaurant,55313a0b498ea6903c4bdcaa,47.3853701113466,8.518150126940204,,2.0,1
