,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"9000, St. Gallen",47.4236,9.3622,Migros Restaurant St. Gallen,Restaurant,502a29bfe4b06ec42c3a9afc,47.421735619652324,9.371391660459294,,2.0,4
1,"9000, St. Gallen",47.4236,9.3622,Seeger,Restaurant,4b067bc5f964a5203bec22e3,47.42585082081956,9.373863477992373,8.1,2.0,44
2,"9000, St. Gallen",47.4236,9.3622,Splügen,Bar,4b9c024ef964a5204f4036e3,47.422258589175385,9.376959800720215,7.8,2.0,10
3,"9000, St. Gallen",47.4236,9.3622,Wirtschaft zur alten Post,Swiss Restaurant,4e779cd88998ed82a5b97873,47.42408057234665,9.376487731933594,7.8,3.0,7
4,"9001, St. Gallen",47.4667,9.4,Restaurant Sonnental (Gift),Swiss Restaurant,4ecfd8a8f790d07037c84778,47.466595833264634,9.394268180668787,,3.0,0
5,"9008, St. Gallen",47.4418,9.3918,Restaurant Espenmoos,Swiss Restaurant,51812c68498e72611038ca6c,47.438860490455134,9.39509831624942,,3.0,0
6,"9008, St. Gallen",47.4418,9.3918,Peter und Paul Wildpark Restaurant,Swiss Restaurant,4e5a4d9e185036bc29efbbfc,47.45003516720589,9.387978315353394,,3.0,7
7,"9008, St. Gallen",47.4418,9.3918,Restaurant Sternen,Swiss Restaurant,4f11c052e4b07e9ecabd7631,47.44129370532996,9.393049995822002,,3.0,1
8,"9008, St. Gallen",47.4418,9.3918,Restaurant Paradisli,Sports Bar,4f11ca87e4b03856f0ba941e,47.43903674876458,9.390733354031594,,1.0,0
9,"9008, St. Gallen",47.4418,9.3918,Restaurant Grütli,Food,4e4d3d4cfa769ce595ba94f9,47.44245166911543,9.39399734687893,,,0
10,"9008, St. Gallen",47.4418,9.3918,"Restaurant Heiligkreuz ""Elba Pizzakurier""",Italian Restaurant,535f9b92498edc8cf0e57e7d,47.442354,9.394093,,2.0,0
11,"9008, St. Gallen",47.4418,9.3918,Restaurant Zunftstube,Swiss Restaurant,4c611d8354ac0f47ee21b721,47.44039335233328,9.394601379064145,,3.0,4
12,"9008, St. Gallen",47.4418,9.3918,Restaurant Segreto,Italian Restaurant,4c4ea6f1fb742d7f324ba22e,47.450205911320765,9.396461818832888,,2.0,2
13,"9008, St. Gallen",47.4418,9.3918,Restaurant Neue Heimat,Snack Place,50701ab1e4b06190ff7cc5a9,47.435801,9.392693,,1.0,1
14,"9008, St. Gallen",47.4418,9.3918,Restaurant Al Covo,Restaurant,4d7fbc202ff9b60cddc3c347,47.45069875262031,9.3966458974721,6.6,2.0,5
15,"9008, St. Gallen",47.4418,9.3918,Restaurant Rennbahn,Restaurant,4da08ec34977236a6147c696,47.43314445018768,9.401738047599792,,2.0,0
16,"9008, St. Gallen",47.4418,9.3918,Restaurant Blume,Restaurant,5241ef0d11d260e26bb8d79f,47.435346,9.402116,,2.0,0
17,"9008, St. Gallen",47.4418,9.3918,Schweizerbund Restaurant,Restaurant,4e25c72a14956d36077ffd5c,47.43605339881213,9.392604950835532,,2.0,1
18,"9011, St. Gallen",47.4148,9.3999,Restaurant Scheitlinsbüchel,Swiss Restaurant,4b5c36cdf964a520812729e3,47.424282011659145,9.396098213828841,7.7,3.0,14
19,"9011, St. Gallen",47.4148,9.3999,Restaurant Dreilinden,Restaurant,4e569674fa763b20fd0ef176,47.42295182128002,9.389753937721252,6.8,2.0,7
20,"9011, St. Gallen",47.4148,9.3999,Restaurant Unterer Brand,Swiss Restaurant,529e2b87498e0dbde7318d36,47.41562056008573,9.38447498359482,,3.0,0
