,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"6006, Luzern",47.0585,8.3337,Restaurant Würzenbach,Swiss Restaurant,4f967ce6e4b00557e60684f8,47.05462024256339,8.343399405477077,,3.0,0
1,"6006, Luzern",47.0585,8.3337,Restaurant Le Trianon,Restaurant,5234b4f811d2be5d467c6d22,47.052746,8.325639,,2.0,1
2,"6006, Luzern",47.0585,8.3337,Verkehrshaus der Schweiz,Science Museum,4b673027f964a52037402be3,47.0531423339034,8.335326663022261,8.6,,232
3,"6006, Luzern",47.0585,8.3337,Hausermatte,Restaurant,4d07e0243363f04da236f297,47.054469,8.327009,,2.0,2
4,"9000, St. Gallen",47.4236,9.3622,Restaurant Leonardo,Restaurant,4fa0fd43e4b07aaa44dc0e1a,47.42159754203989,9.368514421738954,,2.0,0
5,"9000, St. Gallen",47.4236,9.3622,Café Restaurant Neugass,Café,50588c7ee4b0dcc7a7688e02,47.42491102869826,9.374300807271235,7.7,1.0,13
6,"9000, St. Gallen",47.4236,9.3622,In&Out - Coffee - Restaurant - TakeAway,Restaurant,533e8aa7498e6e2569515c70,47.42454583810071,9.37413214759193,,2.0,4
7,"9000, St. Gallen",47.4236,9.3622,Migros Restaurant,Restaurant,4b0bee97f964a520dc3423e3,47.42293472216203,9.369452822084716,5.8,2.0,4
8,"9000, St. Gallen",47.4236,9.3622,Restaurant Eisenbahn,Restaurant,5014613de4b0d8233e7cb812,47.41562342433306,9.360212087631224,,2.0,0
9,"9000, St. Gallen",47.4236,9.3622,Restaurant/Hotel Militärkantine,Swiss Restaurant,53b9743c498e3d4b938b70de,47.42089206235517,9.359789322838795,7.7,3.0,17
10,"9000, St. Gallen",47.4236,9.3622,Restaurant Gartenhaus,Swiss Restaurant,4bf62492d4cdb713364b84fe,47.419544013454214,9.366396326230157,7.6,3.0,12
11,"9000, St. Gallen",47.4236,9.3622,Restaurant Lagerhaus,Mediterranean Restaurant,4baa6137f964a520a3643ae3,47.41982401832232,9.36751403094044,8.4,2.0,39
12,"9000, St. Gallen",47.4236,9.3622,Restaurant La Taverna,Pizza Place,4c813846d4e23704cdaa5b88,47.4235695278466,9.372793741892492,5.4,1.0,6
13,"9000, St. Gallen",47.4236,9.3622,Restaurant Davidshalde,Restaurant,4c2487d5905a0f471bdb5f60,47.42028057575226,9.370007514953613,,2.0,0
14,"9000, St. Gallen",47.4236,9.3622,Restaurant Pärkli,Falafel Restaurant,4f76eb88e4b055c760189204,47.424625,9.37373,,1.0,4
15,"9000, St. Gallen",47.4236,9.3622,Restaurant Drahtseilbahn,Diner,4cda1ceed4ecb1f734017248,47.42224207593376,9.37743283792736,7.8,1.0,9
16,"9000, St. Gallen",47.4236,9.3622,Restaurant Nektar,Restaurant,4c110feeb93cc9b6f8b457e0,47.41913999466103,9.366201186991262,,2.0,3
17,"9000, St. Gallen",47.4236,9.3622,Restaurant Goldener Drache,Chinese Restaurant,4ce6617f9f776ea8915d5122,47.423529,9.3682309,,1.0,0
18,"9000, St. Gallen",47.4236,9.3622,Restaurant Bierstübli,Swiss Restaurant,4d550a266d508eecc130f6da,47.423805645658845,9.368820637464523,,3.0,0
19,"9000, St. Gallen",47.4236,9.3622,Restaurant Baratella,Italian Restaurant,4c2b03f48abca593a785ff1f,47.427516,9.374741,6.7,2.0,8
20,"9000, St. Gallen",47.4236,9.3622,Restaurant Goldener Ochsen,Asian Restaurant,4cf8cee9466b6ea8d77a638b,47.418293903578785,9.366067216756058,,2.0,3
21,"9000, St. Gallen",47.4236,9.3622,Restaurant Papagei,Swiss Restaurant,4d66d7586d86224b0e1e9781,47.42494121106696,9.376210632448336,6.0,3.0,6
22,"9000, St. Gallen",47.4236,9.3622,Restaurant Central (Koni),Restaurant,4d517c7cdcce224bc195e21b,47.41998,9.354213,,2.0,0
23,"9000, St. Gallen",47.4236,9.3622,Restaurant Falkenburg,Restaurant,4ccb006c72106dcbf8079199,47.41852368951325,9.375189542770386,8.5,2.0,12
24,"9000, St. Gallen",47.4236,9.3622,Restaurant Wassergasse,,4ddcd4b152b177ff2e74f856,47.422672,9.372206,,,0
25,"9000, St. Gallen",47.4236,9.3622,Restaurant Roter Platz,Restaurant,4d35777ff8c9224b1a03ccd2,47.42180818607066,9.373375686158164,5.9,2.0,6
26,"9000, St. Gallen",47.4236,9.3622,Restaurant Rama Razaq Ali,Restaurant,50316215e4b021f7a601349a,47.417278,9.367142,,2.0,0
27,"9000, St. Gallen",47.4236,9.3622,Restaurant Kolosseum,Italian Restaurant,4b8e1da8f964a520be1833e3,47.42539076429415,9.372743368148804,,2.0,2
28,"9000, St. Gallen",47.4236,9.3622,Restaurant Gambrinus,Italian Restaurant,4b584457f964a520315028e3,47.421491,9.372793,,2.0,0
29,"9000, St. Gallen",47.4236,9.3622,Chanh - Restaurant & Take Away,Asian Restaurant,5a7f571a5455b23b6bb6100d,47.424137,9.371028,,2.0,1
30,"9000, St. Gallen",47.4236,9.3622,Restaurant Ritter,Restaurant,4bb4f53f310276b05898cf90,47.41539836578778,9.360437393188477,,2.0,0
31,"9000, St. Gallen",47.4236,9.3622,Restaurant Thurgauerhof,Restaurant,501855e3e4b05e491dd55c34,47.426381,9.373692,,2.0,0
