,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"8400, Winterthur",47.4916,8.7295,La Pergola,Italian Restaurant,4b9a23e4f964a520e0a035e3,47.50024320977874,8.729235087817976,6.7,2.0,7
1,"8400, Winterthur",47.4916,8.7295,Commie,Bar,4dc45340d22dafda2f887947,47.49824597424021,8.72896605311686,,2.0,0
2,"8400, Winterthur",47.4916,8.7295,Coop,Supermarket,4dd5489bfa7645a53cac2a06,47.500743262644164,8.725610678907142,6.3,,2
3,"8401, Winterthur",47.5,8.75,Restaurant Sonnenfeld Da Pepino,Swiss Restaurant,5028d95ae4b092aac6e6e39d,47.49342738060997,8.759588988069844,,3.0,2
4,"8401, Winterthur",47.5,8.75,Migros Restaurant,Restaurant,50f5412fe4b0f2332576b46b,47.50578346283343,8.752916806957861,,2.0,0
5,"8401, Winterthur",47.5,8.75,Restaurant Stadtrain,Swiss Restaurant,59f4c030628c8355f8621576,47.500988,8.746174,,3.0,0
6,"8401, Winterthur",47.5,8.75,Restaurant Gutschick,Italian Restaurant,51daf0ad498ec3d164fa7fea,47.491842416979324,8.75022048696768,,2.0,5
7,"8401, Winterthur",47.5,8.75,Restaurant Sonneck,Restaurant,4e2fad2f1838f1c552c7e495,47.50731270633794,8.75411868095398,,2.0,2
8,"8401, Winterthur",47.5,8.75,Restaurant Goldenberg,Restaurant,4c0e29247189c9289bfad7b6,47.505800068270126,8.741180887963578,7.7,2.0,25
9,"8401, Winterthur",47.5,8.75,Restaurant Hörnli,,4fdd022fe4b01d2339509ee9,47.500992,8.74651,,,0
10,"8401, Winterthur",47.5,8.75,Restaurant Bridge Pub,,4f89f374e4b0202c06c41016,47.50098313754382,8.746313807542968,,,0
11,"8401, Winterthur",47.5,8.75,Restaurant Bahnhof,,50009adde4b0004dbdb7d11e,47.505695853964205,8.752799894193327,,,0
