,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"8001, Zürich",47.372,8.5413,Coop Restaurant,Breakfast Spot,4cb03a691168a093c9da2823,47.373675,8.530176,,1.0,0
1,"8001, Zürich",47.372,8.5413,Widder Restaurant,Wine Bar,4b058888f964a5201acc22e3,47.37246650504967,8.539594652401105,,2.0,4
2,"8001, Zürich",47.372,8.5413,Restaurant Münz,Restaurant,4b858431f964a520e16231e3,47.371711939530506,8.538959770242252,,2.0,3
3,"8001, Zürich",47.372,8.5413,Restaurant Au Gratin,Restaurant,4b05888af964a520b8cc22e3,47.3769900871087,8.540400063359604,6.8,2.0,25
4,"8001, Zürich",47.372,8.5413,Restaurant Helvetia,Swiss Restaurant,51a5cf60498e79ac7292c4ad,47.373252,8.531758,,3.0,3
5,"8001, Zürich",47.372,8.5413,Hotel Restaurant Helvetia,Hotel,4b6d6712f964a52007752ce3,47.37329277347991,8.531671846037241,8.1,,55
6,"8001, Zürich",47.372,8.5413,Simon's Steakhouse Grill & Restaurant & Bar,Steakhouse,5aeb99ff0fe7a0002c469bab,47.373386,8.543562,,4.0,0
7,"8001, Zürich",47.372,8.5413,Restaurant Camino,Mediterranean Restaurant,4c0fcf5ef1b6a593dbde7a27,47.377047821228516,8.532783224100685,8.5,2.0,15
8,"8001, Zürich",47.372,8.5413,Zeughauskeller,Swiss Restaurant,4b05888af964a52097cc22e3,47.37024970105742,8.539827505341151,8.9,2.0,740
9,"8001, Zürich",47.372,8.5413,Restaurant Emilio,Spanish Restaurant,4b058888f964a5200acc22e3,47.37293724920348,8.527219810648143,6.8,2.0,4
10,"8002, Zürich",47.3606,8.5325,Restaurant Bederhof,Swiss Restaurant,4b439110f964a5205ce325e3,47.36239667110947,8.526788623102881,8.1,3.0,37
11,"8002, Zürich",47.3606,8.5325,Restaurant Hopfenau,Restaurant,5165a91ee4b0c547d16fca83,47.36520492776915,8.519985715527508,8.2,2.0,18
12,"8002, Zürich",47.3606,8.5325,Restaurant Belvoirpark Zürich,Restaurant,4c0e6a5185e195219379eea5,47.35761426179277,8.533222723387624,7.3,2.0,18
13,"8002, Zürich",47.3606,8.5325,Rampe Süd Restaurant,Breakfast Spot,4cf5f10c1801a14319b7e6d4,47.35923995533381,8.522964750295152,,1.0,6
14,"8002, Zürich",47.3606,8.5325,Restaurant Vereinigung,Tapas Restaurant,4b556518f964a52042e327e3,47.36300582977962,8.522282091210586,7.6,3.0,15
15,"8002, Zürich",47.3606,8.5325,Restaurant Vietnam,Asian Restaurant,4bf65bc494b2a593ae4aadee,47.36232343699173,8.51855575819335,7.4,2.0,13
16,"8002, Zürich",47.3606,8.5325,Restaurant Orangerie,French Restaurant,4dcce3bacc3f07eb1efee990,47.35948010766192,8.52487384775036,,3.0,1
17,"8002, Zürich",47.3606,8.5325,Restaurant Mimosa,Italian Restaurant,4e1d76cdaeb78c0dfeccff4d,47.363488395351716,8.533927232375367,,2.0,1
18,"8002, Zürich",47.3606,8.5325,Restaurant Gran Sasso,Steakhouse,4d543075bdbea1cda337e492,47.36809251652546,8.524004998774103,7.0,4.0,10
19,"8002, Zürich",47.3606,8.5325,Restaurant Rietberg,Swiss Restaurant,518a9def498eac03d58fd1de,47.354510765183086,8.528988921448354,,3.0,2
20,"8002, Zürich",47.3606,8.5325,Restaurant Glärnischhof,Swiss Restaurant,543d09b3498eaf92feb13093,47.367592,8.536734,,3.0,0
21,"8002, Zürich",47.3606,8.5325,Restaurant Hong-Kong,,4fdd0217e4b0d3316911d041,47.35611375551412,8.524150868967933,,,0
22,"8002, Zürich",47.3606,8.5325,Restaurant Manesse,,4ffa0347e4b083d14d6d414e,47.36888041880561,8.524652552558386,,,1
23,"8002, Zürich",47.3606,8.5325,Restaurant Vivace,Café,4e4e064aaeb70f12848cb13d,47.36766423537107,8.5373854637146,,1.0,1
24,"8002, Zürich",47.3606,8.5325,Restaurant Werdguet,Swiss Restaurant,4b276e0df964a520618624e3,47.371440529796836,8.527643594837347,,3.0,2
25,"8002, Zürich",47.3606,8.5325,San Marco Restaurant,Restaurant,5aa21f5f838e59757f1ea53c,47.36349,8.53236,,2.0,0
26,"8002, Zürich",47.3606,8.5325,Ascot Restaurant,Restaurant,4ef03b790e61196dc8c25a15,47.36367608463883,8.532172389119104,6.7,2.0,7
27,"8002, Zürich",47.3606,8.5325,Restaurant Werd,Swiss Restaurant,4b0a5e0ef964a520922323e3,47.37225448761609,8.527612434962082,,3.0,0
28,"8002, Zürich",47.3606,8.5325,"""LA SUITE"" LOUNGE & RESTAURANT",,50316235e4b0e2ee60eb5d89,47.364987966277475,8.539105869992937,,,0
29,"8002, Zürich",47.3606,8.5325,Lola's Restaurant,Latin American Restaurant,4d7b913573ca548110874d7c,47.36870546657075,8.52471006246698,8.1,2.0,9
30,"8002, Zürich",47.3606,8.5325,Metropol,Restaurant,4b312111f964a520c10025e3,47.368178151222494,8.541146673501968,7.6,2.0,59
31,"8002, Zürich",47.3606,8.5325,Ristorante Frascati,Italian Restaurant,4bb7934598c7ef3b9efe2f02,47.36088620218997,8.547788211342624,7.2,2.0,55
32,"8002, Zürich",47.3606,8.5325,Rüsterei,Swiss Restaurant,4bf26fda9f9395213bb13098,47.35842601284158,8.522955814719129,7.7,3.0,61
33,"8002, Zürich",47.3606,8.5325,ENGIMATT City-Gardenhotel,Hotel,4b058887f964a520bfcb22e3,47.35958968880944,8.524747696442958,7.3,,24
34,"8002, Zürich",47.3606,8.5325,Thai Restaurant Take Away,Thai Restaurant,4ffea34ee4b042ae8a92e6da,47.36356349441646,8.520373783751984,,2.0,0
35,"8002, Zürich",47.3606,8.5325,Tram Restaurant,Swiss Restaurant,4be98f9061aca593b3af8200,47.368437,8.539212,,3.0,0
36,"8002, Zürich",47.3606,8.5325,Lola’s Peruvian Restaurant,Peruvian Restaurant,5a5b6205dd70c540f798ec8b,47.368694,8.524303,,2.0,0
37,"8002, Zürich",47.3606,8.5325,Juan Costa,Spanish Restaurant,4d80a0638edaa143100df239,47.36581091258131,8.5323182960541,5.8,2.0,10
38,"8002, Zürich",47.3606,8.5325,Gartenhof,Restaurant,4c588269d12a20a1933569bd,47.37185629973174,8.52581910849828,8.1,2.0,81
39,"8002, Zürich",47.3606,8.5325,YEN'S Sushi & Asian Cuisine,Sushi Restaurant,4f5bb376e4b0090c09cda75b,47.37136901098179,8.528703527634999,8.0,2.0,47
40,"8002, Zürich",47.3606,8.5325,Certo,Italian Restaurant,4c0698032e80a5934a5974f9,47.37227873017211,8.529273653843328,7.0,2.0,20
41,"8002, Zürich",47.3606,8.5325,Pavillion,Restaurant,4c095332ffb8c9b660b86961,47.367170107846185,8.539402484893799,,2.0,3
42,"8002, Zürich",47.3606,8.5325,O'Tabe,Japanese Restaurant,4b6341d2f964a520f46d2ae3,47.3688806632123,8.538315153228456,6.6,2.0,5
