,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"1202, Genève",46.2214,6.1431,chandieu Café Restaurant,Diner,50b494a6e4b01949bf30bb59,46.21530708816374,6.133788299921939,,1.0,1
1,"1202, Genève",46.2214,6.1431,Han Lung,Chinese Restaurant,4cdef6e7db125481372134ce,46.22227953566283,6.148957108423285,,1.0,3
2,"1202, Genève",46.2214,6.1431,Coop Supermarché Genève Montbrillant,Supermarket,504f47ddf1ba6afe50c9647d,46.22022288,6.14184663,6.5,,0
3,"1202, Genève",46.2214,6.1431,Restaurante Los Naranjales,Soup Place,4f133dd8e4b0960d00a0bbef,46.21775133211926,6.13373229460654,,1.0,0
4,"1202, Genève",46.2214,6.1431,Restaurants de l'ONU,Restaurant,4f2fc759e4b03caf55308d74,46.22380871233442,6.149470591345787,,2.0,1
5,"1202, Genève",46.2214,6.1431,N'vy Bar,Cocktail Bar,50c4df87067db1ff0bd55724,46.21542936326136,6.148610266951351,6.8,3.0,19
6,"1202, Genève",46.2214,6.1431,Tzing Tao,Chinese Restaurant,4b926deef964a520eef833e3,46.22071736256135,6.1480255141232805,,1.0,0
7,"1202, Genève",46.2214,6.1431,Spice's,Asian Restaurant,4c2cee398ef52d7fe2b333ba,46.21415475112105,6.151796579360962,,2.0,1
8,"1203, Genève",46.2086,6.1236,Restaurant Lamartine,Spanish Restaurant,4e4eade6b0fb088f3c10e65c,46.21124812655311,6.12859100577275,6.9,2.0,5
9,"1203, Genève",46.2086,6.1236,Restaurant Les Tilleuls,French Restaurant,4ba3d79ef964a520856538e3,46.205704667924785,6.131184078927277,8.2,3.0,42
10,"1203, Genève",46.2086,6.1236,Restaurant Chamade,,4f9b16f2e4b05baf7770c429,46.206801,6.120052,,,0
11,"1203, Genève",46.2086,6.1236,Café Restaurant Pizzeria St-jean,Restaurant,4fcbadc6e4b06ec8a3c206a8,46.205563,6.127441,,2.0,4
12,"1203, Genève",46.2086,6.1236,Restaurant Rejbus,Falafel Restaurant,51ef83f4498ed8c8427d72c6,46.21215,6.129133,,1.0,1
13,"1203, Genève",46.2086,6.1236,Restaurant le Cordon Bleu,,4fe399f6e4b0b355c0febcb5,46.21208,6.12985,,,0
14,"1203, Genève",46.2086,6.1236,Restaurant la Feria,,4f932e13e4b0532d5d9a708c,46.204992,6.130178,,,0
15,"1203, Genève",46.2086,6.1236,Restaurant Servette Kebab,,50203ecfe4b091a446e731b2,46.21167686437704,6.131363240953562,,,0
16,"1203, Genève",46.2086,6.1236,Restaurant La Tentation,,4de685281f6e9d90c7f5325c,46.205232,6.114944599999999,,,0
17,"1203, Genève",46.2086,6.1236,Restaurant Lamartine,,500f1b0ae4b0c1e6fd3a9932,46.206813,6.132798,,,0
18,"1203, Genève",46.2086,6.1236,Restaurant Des Asters,Restaurant,59d3aa18d0a14922fb781ff3,46.212864,6.131684,,2.0,0
19,"1203, Genève",46.2086,6.1236,Restaurant Compostelle,,4fdbb0d0e4b039664d1b8150,46.212251,6.132799,,,0
20,"1203, Genève",46.2086,6.1236,Restaurant Le Diva-Jardin,,4f8dbe8fe4b0d35b7f75b956,46.209382,6.134556,,,0
21,"1203, Genève",46.2086,6.1236,Restaurant Mariscos,Café,4ea0129bcc21b2fa8e973370,46.20532616792642,6.135693927661518,,1.0,0
22,"1203, Genève",46.2086,6.1236,Restaurant El Bodegon,,4ffa0336e4b0d27dd8e0ba39,46.20129,6.131502,,,0
23,"1203, Genève",46.2086,6.1236,Restaurant Cercle du Rhône,Restaurant,4fc8b803e4b081b29ea09615,46.205489,6.13644,,2.0,0
24,"1203, Genève",46.2086,6.1236,Restaurant Punjabi,North Indian Restaurant,5783796d498eac89c1192564,46.200383,6.13153,,,0
25,"1203, Genève",46.2086,6.1236,Restaurant Tourbillon,,4ffca653e4b0d5dff4712f64,46.201314,6.133636,,,0
26,"1203, Genève",46.2086,6.1236,Restaurant Cent-Deux,,4fecd447e4b0f4e1cfd84001,46.198307535264696,6.133621382035409,,,0
27,"1203, Genève",46.2086,6.1236,Cafe Restaurant 3D (Les),Breakfast Spot,4adcdab4f964a5207d5021e3,46.212636288439626,6.127843168583444,,1.0,0
28,"1203, Genève",46.2086,6.1236,Shiva restaurant,Indian Restaurant,5849b5aad4ab732bb1c631ee,46.199877,6.131837,,2.0,1
29,"1203, Genève",46.2086,6.1236,Café-restaurant La Fontaine,Diner,4c8c2d348018a1cdbc79ead2,46.215444246464344,6.122094558242787,,1.0,3
30,"1203, Genève",46.2086,6.1236,Harmonie Restaurant,Italian Restaurant,4e50e0531f6eae4d252e3ea0,46.20140047692726,6.130150800529713,,2.0,2
31,"1203, Genève",46.2086,6.1236,Eritrean restaurant,African Restaurant,4b573404f964a520df2a28e3,46.201205,6.131194,,2.0,1
32,"1203, Genève",46.2086,6.1236,Coop,Supermarket,4b6447ddf964a52017a82ae3,46.212556073916566,6.131636866016549,7.6,,21
33,"1203, Genève",46.2086,6.1236,Trigal - Restaurant Genève,Pizza Place,551e96e9498ee3db6cf93637,46.213352955712,6.1296844482421875,,1.0,0
34,"1203, Genève",46.2086,6.1236,Cafe Restaurant du Jura,Portuguese Restaurant,4ebafc5c77c8100292d34c2d,46.208898323606626,6.137816905975342,,2.0,0
35,"1203, Genève",46.2086,6.1236,Restaurante E Churrascaria Aquarela,Brazilian Restaurant,565a029b498ed1bb9cf3b0e8,46.211735027172395,6.1337737326276685,,2.0,5
36,"1203, Genève",46.2086,6.1236,Café Restaurant Le Nénuphar,French Restaurant,574d68fe38faad9e9cfbedb8,46.205477,6.108114,,3.0,0
37,"1203, Genève",46.2086,6.1236,Club Deportivo Cerceda,Spanish Restaurant,4cb21620db32f04d8b70cd4d,46.20099046180326,6.134469509124756,,2.0,2
38,"1203, Genève",46.2086,6.1236,Liu Garden,Chinese Restaurant,4c442dc274ffc928052575cc,46.19926793625773,6.1325703173808455,7.6,1.0,5
39,"1204, Genève",46.2024,6.145,Restaurant Le Victoria,French Restaurant,50cf3362e4b0af446f532411,46.19583674490804,6.152483224868774,,3.0,0
40,"1204, Genève",46.2024,6.145,Restaurant Universitaire Marx Café,College Cafeteria,4eafab29cc21adeaf75a5764,46.194839998314514,6.1401948016601935,,,0
41,"1204, Genève",46.2024,6.145,Restaurant Universitaire Le Petit Oedipe,College Cafeteria,4eafaa1fbe7b409f8bf03eee,46.19415470827761,6.140836019261378,,,0
42,"1204, Genève",46.2024,6.145,Restaurant Pacha,,4f8d590ae4b037ca8467b10c,46.203187,6.149781,,,0
43,"1204, Genève",46.2024,6.145,Restaurant  Chez Angelo,Italian Restaurant,4bf2df796a31d13a9e02942e,46.201499106815156,6.146490640422271,,2.0,1
44,"1204, Genève",46.2024,6.145,Restaurant Le Flore,Eastern European Restaurant,50af8c17e4b014937a1f0e56,46.20154375128599,6.149632294657684,,2.0,2
45,"1204, Genève",46.2024,6.145,Restaurant 7ème Ciel,,4fecd40ee4b0193fd0b3b60a,46.203178,6.143218,,,0
46,"1204, Genève",46.2024,6.145,Restaurant le P'tit Cano,,4fa1ae6de4b03d0eba21ebe7,46.203662,6.143721,,,0
47,"1204, Genève",46.2024,6.145,Restaurant Du Credit Suisse Hubble,Restaurant,4d2efeeb94013704b8f7eada,46.203916,6.14388,,2.0,1
48,"1204, Genève",46.2024,6.145,Restaurant Chez Kuk,Cantonese Restaurant,4f9c6889e4b0027bd4e32885,46.196574220834876,6.146191247827622,,,1
