,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"1007, Lausanne",46.5177,6.609,Backroom of grand restaurant PMI,Food Court,573d9ba5498edebe30e399ca,46.515403,6.611278,,,0
1,"1007, Lausanne",46.5177,6.609,Greasy Spoon Restaurant,Fast Food Restaurant,50b73fa1e4b0852011385046,46.5120849609375,6.609353065490723,,1.0,0
2,"1007, Lausanne",46.5177,6.609,Café Restaurant de Cour - Taimah,Asian Restaurant,4e666240ae60e9edf76a3c00,46.515593,6.617135,6.7,2.0,7
3,"1007, Lausanne",46.5177,6.609,PMI Wellness Corner,Restaurant,528b5501498e8c59bc33f6fd,46.5149075853606,6.61084650463738,,2.0,2
4,"1010, Lausanne",46.5362,6.6589,Café Restaurant de Montolieu,Pizza Place,4d5ae449fe7c224b34c487b5,46.543447927389245,6.647254411666205,,1.0,0
5,"1010, Lausanne",46.5362,6.6589,Café-Restaurant des Tuileries,Restaurant,4d43187f1629b60c90c99d89,46.54433096938287,6.657511826954634,,2.0,0
6,"1010, Lausanne",46.5362,6.6589,La Vallonnette Café-Restaurant,Restaurant,4d07afbe30a58cface04b2e7,46.53312168,6.64745224,,2.0,0
7,"1010, Lausanne",46.5362,6.6589,Restaurant Coteau Fleuri,,4b9e201df964a52030cc36e3,46.53343,6.661609,,,0
8,"1010, Lausanne",46.5362,6.6589,Restaurant-Pizzeria LesCroisettes,,4b705804f964a52017142de3,46.54284821892493,6.661105601648535,,,0
9,"1010, Lausanne",46.5362,6.6589,Restaurant La Radio,Mediterranean Restaurant,537656fb498ecd8a3e9d51bf,46.53703308105469,6.649962425231934,,2.0,0
10,"1010, Lausanne",46.5362,6.6589,Restaurant Mare & Monte,Restaurant,4cebfc4f595cb1f71d2edc14,46.54140855,6.6497254,,2.0,0
11,"1010, Lausanne",46.5362,6.6589,Café Restaurant De Boveresse,Restaurant,51502f37e4b08a4f713fd1d7,46.5374941174717,6.666267819988129,,2.0,0
12,"1010, Lausanne",46.5362,6.6589,Café Restaurant De La Poste,Diner,50950f7ee4b0e34d62a63ded,46.532863495421516,6.648133828626514,,1.0,0
13,"1011, Lausanne",46.5249,6.6431,Le Chalet Suisse,Swiss Restaurant,4b897750f964a520e63832e3,46.531344226110996,6.639286124926737,8.5,3.0,89
