,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"8033, Zürich",47.3836,8.548,10' dieci - Gelateria & Take-Away,Pizza Place,51f8f51d498e7900824c6268,47.37443747929338,8.543817896581535,5.0,1.0,7
1,"8037, Zürich",47.3985,8.5243,Restaurant Die Waid,Swiss Restaurant,4b05888af964a52093cc22e3,47.399875738465965,8.515438352970447,8.7,3.0,164
2,"8037, Zürich",47.3985,8.5243,Restaurant Kerala,Indian Restaurant,4b05888bf964a520bbcc22e3,47.40204562908591,8.535178473680286,7.8,2.0,30
3,"8037, Zürich",47.3985,8.5243,Restaurant Hofwiesen,Austrian Restaurant,4fe0a6abe4b096aa580a6d0b,47.406335572609116,8.537707760388214,8.1,,19
4,"8037, Zürich",47.3985,8.5243,Restaurant Meister Gao,Chinese Restaurant,50009afce4b062a7b1f78b1b,47.39715514594286,8.53221284259897,,1.0,2
5,"8037, Zürich",47.3985,8.5243,Restaurant fallender Brunnenhof,Swiss Restaurant,4c1545c377cea593c7f4d160,47.4026484521374,8.535619361346805,,3.0,1
6,"8037, Zürich",47.3985,8.5243,Restaurant Jeunesse,Italian Restaurant,574807c3498ed4b1ea6dacd5,47.405167,8.533418,,2.0,0
7,"8037, Zürich",47.3985,8.5243,Restaurante Bergantinos,Spanish Restaurant,4da874cefa8c4175d0ba1c2a,47.393865,8.528213,,2.0,0
8,"8037, Zürich",47.3985,8.5243,Angkor,Cambodian Restaurant,4b4c70c6f964a5200ab326e3,47.39017,8.51752,6.4,,36
9,"8037, Zürich",47.3985,8.5243,Eat & Meet,Swiss Restaurant,4b83bbadf964a520920e31e3,47.39244108733332,8.514642223674864,,3.0,0
10,"8038, Zürich",47.3416,8.5369,Restaurant Mellow,,54d10fd7498e22dcd5554932,47.340591,8.530216,,,1
11,"8038, Zürich",47.3416,8.5369,Restaurant Bürgli,Restaurant,4b05888af964a520afcc22e3,47.34304818849731,8.53371981467256,9.0,2.0,52
12,"8038, Zürich",47.3416,8.5369,Restaurant Medina,Restaurant,4da575440437667c9b2b984e,47.34218895149141,8.53055377733666,,2.0,0
13,"8038, Zürich",47.3416,8.5369,WINIT's Restaurant,Thai Restaurant,577d382a498e7549bd9cc42f,47.344076,8.531424,,2.0,2
14,"8038, Zürich",47.3416,8.5369,Restaurant Casa-Nostrana,Italian Restaurant,4b83b36cf964a520730d31e3,47.34413104786304,8.531737727775992,,2.0,3
15,"8038, Zürich",47.3416,8.5369,Restaurant Tennisclub Seeblick,Restaurant,5af09361bed483002c28c903,47.333117,8.538267,,2.0,0
16,"8038, Zürich",47.3416,8.5369,Restaurant Renggergut,Restaurant,4e6f2dc9b0fbacf2ada29857,47.344093322753906,8.532963752746582,,2.0,0
17,"8038, Zürich",47.3416,8.5369,Restaurant zur rote Buech,Restaurant,4b5ebc95f964a520319729e3,47.34560000993326,8.533524645952367,,2.0,0
18,"8038, Zürich",47.3416,8.5369,Seerose,Restaurant,4bc2f43dabf495211514c393,47.338369980325545,8.540681640510133,8.5,2.0,130
19,"8038, Zürich",47.3416,8.5369,Yan-Ruyi Chinesisches Restaurant,Chinese Restaurant,5a48d7272be4257246b49ee8,47.34407,8.532312,,1.0,0
20,"8038, Zürich",47.3416,8.5369,Migros Restaurant,Restaurant,5329d87a498e79f67441e074,47.344287761042885,8.529977296838295,,2.0,0
21,"8040, Zürich",47.3802,8.5068,Restaurant Schlachthof,Swiss Restaurant,4b56f2aaf964a5203e2028e3,47.383233854787484,8.506110441996032,6.8,3.0,26
22,"8040, Zürich",47.3802,8.5068,Restaurant Singapore,Asian Restaurant,4b8aab71f964a520c27832e3,47.38308737679516,8.49984416536604,6.5,2.0,26
23,"8040, Zürich",47.3802,8.5068,Letzi Liu Restaurant,Swiss Restaurant,4d9bff5a4fdab60c8c1657f2,47.38014388307787,8.506560431029788,,3.0,0
24,"8040, Zürich",47.3802,8.5068,Restaurant Mediacampus,College Cafeteria,5130a34ce4b0164521992612,47.38570202715917,8.501947949934204,,,1
25,"8040, Zürich",47.3802,8.5068,Restaurant Oval,Restaurant,4dee0baee4cd032b1898190f,47.38278101286818,8.502767738705119,,2.0,0
26,"8040, Zürich",47.3802,8.5068,CUBE Restaurant,Restaurant,4df09257d16486e86e508f6e,47.37897989881909,8.495108740145367,8.4,2.0,9
27,"8040, Zürich",47.3802,8.5068,Restaurant Freihof,Restaurant,4dca5c6fd16495ca5ae7b4d5,47.38332978790792,8.499398512194627,7.6,2.0,5
28,"8040, Zürich",47.3802,8.5068,"The Raffles, Singapore Restaurant (official)",Malay Restaurant,53cac8bf498ea26c6f081d0e,47.38317108154297,8.499974250793457,,2.0,0
29,"8040, Zürich",47.3802,8.5068,Minimum Restaurant,Restaurant,5248053011d2f0c967f2597e,47.3817170041658,8.495322804681162,7.3,2.0,22
30,"8040, Zürich",47.3802,8.5068,Restaurant Napoli,Italian Restaurant,57dafa21498e23542f793a39,47.391003,8.506,,2.0,0
31,"8040, Zürich",47.3802,8.5068,New Point,Mediterranean Restaurant,4b5d8084f964a520285f29e3,47.378358163243156,8.51008312195479,6.7,2.0,16
32,"8040, Zürich",47.3802,8.5068,Passaggio Restaurant,Restaurant,509d1f403d7c56bd1382ba2b,47.38610163385935,8.498275702414999,,2.0,0
33,"8040, Zürich",47.3802,8.5068,Rosenburg,Swiss Restaurant,4ecbe3d7469068520c754192,47.3768118258942,8.51378724869948,,3.0,2
34,"8040, Zürich",47.3802,8.5068,Autogrill,Swiss Restaurant,4e201d0e1838712abe62c5ff,47.38628600308225,8.49824650313655,,3.0,0
35,"8040, Zürich",47.3802,8.5068,Coop Supermarkt Zürich Wiedikon,Supermarket,4c878219e602b1f7f02ec87a,47.37074636,8.51590513,6.2,,0
36,"8041, Zürich",47.3361,8.5156,SV Restaurant Manegg,Restaurant,4bbf01dd98f495212df6d163,47.33856296516321,8.518558214343292,,2.0,1
37,"8045, Zürich",47.3516,8.5057,Restaurant UTO KULM,Swiss Restaurant,4bc87c62dc55eee17e7ee8ac,47.34954597063689,8.491234378082314,7.8,3.0,68
38,"8045, Zürich",47.3516,8.5057,Restaurant Gmüetliberg,Swiss Restaurant,4d07b44aa26854818f19c8bd,47.35168195805494,8.487501147515438,7.4,3.0,12
39,"8045, Zürich",47.3516,8.5057,Migros Restaurant,Restaurant,4dd64b51d22d38ef42cb0d04,47.35824231554161,8.51738691329956,,2.0,1
40,"8045, Zürich",47.3516,8.5057,Restaurant Eat&Meet,Cafeteria,4cf3678e7bf3b60cb9d36a7f,47.36180195165452,8.510070148967305,,,2
41,"8045, Zürich",47.3516,8.5057,Restaurant Schützenruh,Swiss Restaurant,4e442d0d1495455b10ca400e,47.353688608287904,8.511930672646464,6.7,3.0,6
42,"8045, Zürich",47.3516,8.5057,Restaurant La Piazza,Swiss Restaurant,5aedb0625455b2002cd26a9c,47.3609,8.506855,,3.0,0
43,"8046, Zürich",47.4222,8.5083,Migros Restaurant,Restaurant,4d1464ad816af04d6a993bc2,47.42016068981287,8.508310317993164,,2.0,0
44,"8046, Zürich",47.4222,8.5083,Restaurant Büsi,,50118961e4b0b186e3a0b174,47.42710802489742,8.509735600342506,,,0
45,"8046, Zürich",47.4222,8.5083,Restaurant Frieden,,4e994adcf5b9a9af67aac38d,47.41454969686423,8.513426650755799,,,2
46,"8046, Zürich",47.4222,8.5083,Treff Restaurant Pizzeria,Pizza Place,586a55727b43b43605949859,47.419916,8.508524,,1.0,0
47,"8046, Zürich",47.4222,8.5083,Restaurant Lerchenberg,,4f947f67e4b00fe65fe58c26,47.412501,8.509691,,,0
48,"8047, Zürich",47.3739,8.487,Restaurant Bar Cafe Eyhof,Restaurant,5b7042d6dff8150039cc3938,47.368526,8.495234,,2.0,0
49,"8047, Zürich",47.3739,8.487,Restaurant Six,Australian Restaurant,4b9b5ce1f964a520a70236e3,47.37524399318,8.485941564593634,,2.0,0
