,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels,Latitude,Longitude
32,"3004, Bern",Train Station,Snack Place,Coffee Shop,Swiss Restaurant,Restaurant,Park,Zoo,Dog Run,Doner Restaurant,Donut Shop,6,46.9805,7.452000000000001
33,"3005, Bern",Bar,Swiss Restaurant,Tram Station,Zoo,Seafood Restaurant,Science Museum,Sandwich Place,Rock Climbing Spot,Music Venue,Lounge,6,46.9394,7.4499
34,"3006, Bern",Tram Station,Bus Station,Pizza Place,Swiss Restaurant,Bakery,Zoo Exhibit,Art Museum,Light Rail Station,French Restaurant,Restaurant,3,46.9458,7.4713
35,"3007, Bern",Hotel,Movie Theater,Indian Restaurant,Pizza Place,Bus Station,Supermarket,Multiplex,Bakery,Plaza,Swiss Restaurant,6,46.9392,7.4346
36,"3008, Bern",Italian Restaurant,Supermarket,Swiss Restaurant,Hotel,Ethiopian Restaurant,Tapas Restaurant,Bakery,Bagel Shop,Grocery Store,Train Station,6,46.9546,7.4207
37,"3010, Bern",Bus Station,Pizza Place,Tram Station,Swiss Restaurant,Grocery Store,Bar,Gastropub,Discount Store,Thai Restaurant,Chinese Restaurant,3,46.9471,7.4244
38,"3011, Bern",Bar,Café,Swiss Restaurant,Spanish Restaurant,Garden,Hotel,Ice Cream Shop,Convention Center,Park,Farmers Market,6,46.948,7.4484
39,"3012, Bern",Supermarket,Bus Station,Café,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Factory,Dog Run,1,46.9616,7.426
40,"3013, Bern",Bar,Hotel,Supermarket,Italian Restaurant,Coffee Shop,Swiss Restaurant,Shopping Mall,Brewery,Café,Restaurant,6,46.9562,7.4462
41,"3014, Bern",Hotel,Italian Restaurant,Restaurant,Gym / Fitness Center,Shopping Mall,Soccer Stadium,Stadium,Supermarket,Grocery Store,Train Station,0,46.9622,7.4584
42,"3015, Bern",Supermarket,Tram Station,Hotel,Restaurant,Grocery Store,Gym / Fitness Center,Asian Restaurant,Bakery,Dog Run,Doner Restaurant,1,46.9402,7.4855
43,"3017, Bern",Train Station,Pool,Sandwich Place,Falafel Restaurant,Swiss Restaurant,Supermarket,Gym Pool,Athletics & Sports,Steakhouse,Zoo,6,46.9476,7.4065
44,"3018, Bern",Supermarket,Gas Station,Department Store,Restaurant,Swiss Restaurant,Train Station,Zoo,Doner Restaurant,Donut Shop,Eastern European Restaurant,6,46.9339,7.3891
45,"3019, Bern",Restaurant,Hotel,Farm,Ethiopian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,0,46.931000000000004,7.3479
46,"3020, Bern",Forest,Café,Athletics & Sports,Farm,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,6,46.9371,7.3209
47,"3027, Bern",Tram Station,Restaurant,Supermarket,Food & Drink Shop,Bus Station,Grocery Store,Gym Pool,Zoo,Doner Restaurant,Donut Shop,1,46.9558,7.3872
48,"3039, Bern",Campground,Grocery Store,Asian Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,3,46.9667,7.3833
49,"3050, Bern",Hockey Arena,Swiss Restaurant,Theater,Zoo,English Restaurant,Dive Bar,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,2,47.0111,7.4333
50,"4000, Basel",Hotel,Thai Restaurant,Restaurant,Bar,Swiss Restaurant,Italian Restaurant,Supermarket,Café,Plaza,Brewery,6,47.5667,7.6
51,"4001, Basel",Café,Hotel,Swiss Restaurant,Plaza,Art Museum,Italian Restaurant,French Restaurant,Pizza Place,Bar,Cocktail Bar,6,47.5564,7.5889
52,"4002, Basel",Italian Restaurant,Hotel,Coffee Shop,Swiss Restaurant,Bakery,Supermarket,Electronics Store,Mexican Restaurant,Sushi Restaurant,Sporting Goods Shop,6,47.5488,7.5904
53,"4003, Basel",Italian Restaurant,Tram Station,Supermarket,Café,Hotel,Gym,Middle Eastern Restaurant,Park,Bakery,Bus Station,6,47.5592,7.5788
54,"4005, Basel",Food & Drink Shop,Art Museum,Beer Garden,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,Event Space,Factory,6,47.5623,7.5946
55,"4010, Basel",History Museum,Zoo,Event Space,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,4,47.5528,7.5929
56,"4052, Basel",Pizza Place,Tram Station,Farmers Market,Farm,Shopping Mall,Scenic Lookout,Bus Station,Supermarket,Gas Station,Bakery,3,47.5225,7.5962
57,"4053, Basel",Hotel,Tram Station,Italian Restaurant,Café,Bakery,Shopping Mall,Supermarket,Bistro,Brewery,Burger Joint,6,47.5383,7.601
58,"4054, Basel",Tram Station,Zoo Exhibit,Supermarket,Bus Stop,Plaza,Soccer Field,Restaurant,Grocery Store,Asian Restaurant,Bakery,3,47.5505,7.5689
